EIF2B3	EIF2B3
HECTD3	HECTD3
UROD	UROD
MUTYH	MUTYH
TOE1	TOE1
MMACHC	MMACHC
AKR1A1	AKR1A1
NASP	NASP
GPBP1L1	GPBP1L1
TMEM69	TMEM69
IPP	IPP
MAST2	MAST2
PIK3R3	PIK3R3
POMGNT1	POMGNT1
LURAP1	LURAP1
RAD54L	RAD54L
LRRC41	LRRC41
NSUN4	NSUN4
MKNK1	MKNK1
ATPAF1	ATPAF1
EFCAB14	EFCAB14
STIL	STIL
CMPK1	CMPK1
SPATA6	SPATA6
FAF1	FAF1
CDKN2C	CDKN2C
RNF11	RNF11
TTC39A	TTC39A
EPS15	EPS15
OSBPL9	OSBPL9
NRDC	NRDC
RAB3B	RAB3B
TXNDC12	TXNDC12
KTI12	KTI12
BTF3L4	BTF3L4
ZFYVE9	ZFYVE9
CC2D1B	CC2D1B
ORC1	ORC1
PRPF38A	PRPF38A
TUT4	TUT4
COA7	COA7
ZYG11B	ZYG11B
SCP2	SCP2
CPT2	CPT2
C1orf123	C1orf123
MAGOH	MAGOH
LRP8	LRP8
NDC1	NDC1
YIPF1	YIPF1
HSPB11	HSPB11
LRRC42	LRRC42
TMEM59	TMEM59
CYB5RL	CYB5RL
MRPL37	MRPL37
SSBP3	SSBP3
PARS2	PARS2
DHCR24	DHCR24
USP24	USP24
OMA1	OMA1
MYSM1	MYSM1
FGGY	FGGY
TM2D1	TM2D1
PATJ	PATJ
USP1	USP1
DOCK7	DOCK7
ATG4C	ATG4C
ALG6	ALG6
ITGB3BP	ITGB3BP
EFCAB7	EFCAB7
PGM1	PGM1
RAVER2	RAVER2
JAK1	JAK1
AK4	AK4
LEPROT	LEPROT
MIER1	MIER1
SLC35D1	SLC35D1
GADD45A	GADD45A
GNG12	GNG12
DEPDC1	DEPDC1
LRRC40	LRRC40
SRSF11	SRSF11
ANKRD13C	ANKRD13C
HHLA3	HHLA3
CTH	CTH
ZRANB2	ZRANB2
LRRIQ3	LRRIQ3
FPGT	FPGT
CRYZ	CRYZ
TYW3	TYW3
LHX8	LHX8
ACADM	ACADM
RABGGTB	RABGGTB
PIGK	PIGK
AC118549.1	AC118549.1
USP33	USP33
MIGA1	MIGA1
NEXN	NEXN
FUBP1	FUBP1
DNAJB4	DNAJB4
ADGRL2	ADGRL2
TTLL7	TTLL7
AL359504.2	AL359504.2
PRKACB	PRKACB
RPF1	RPF1
CTBS	CTBS
SSX2IP	SSX2IP
MCOLN2	MCOLN2
MCOLN3	MCOLN3
SYDE2	SYDE2
C1orf52	C1orf52
BCL10	BCL10
DDAH1	DDAH1
AC092807.3	AC092807.3
CYR61	CYR61
ZNHIT6	ZNHIT6
ODF2L	ODF2L
SH3GLB1	SH3GLB1
SELENOF	SELENOF
HS2ST1	HS2ST1
PKN2	PKN2
GTF2B	GTF2B
KYAT3	KYAT3
RBMXL1	RBMXL1
GBP1	GBP1
LRRC8B	LRRC8B
LRRC8D	LRRC8D
ZNF326	ZNF326
ZNF644	ZNF644
CDC7	CDC7
EPHX4	EPHX4
GLMN	GLMN
RPAP2	RPAP2
EVI5	EVI5
FAM69A	FAM69A
MTF2	MTF2
TMED5	TMED5
CCDC18	CCDC18
DR1	DR1
FNBP1L	FNBP1L
BCAR3	BCAR3
DNTTIP2	DNTTIP2
GCLM	GCLM
ABCD3	ABCD3
SLC44A3	SLC44A3
CNN3	CNN3
AC105942.1	AC105942.1
ALG14	ALG14
TMEM56	TMEM56
PTBP2	PTBP2
DPYD	DPYD
MIR137HG	MIR137HG
SNX7	SNX7
AGL	AGL
SLC35A3	SLC35A3
SASS6	SASS6
TRMT13	TRMT13
DBT	DBT
RTCA	RTCA
CDC14A	CDC14A
EXTL2	EXTL2
SLC30A7	SLC30A7
DPH5	DPH5
AC093157.1	AC093157.1
RNPC3	RNPC3
PRMT6	PRMT6
SLC25A24	SLC25A24
PRPF38B	PRPF38B
STXBP3	STXBP3
GPSM2	GPSM2
CLCC1	CLCC1
WDR47	WDR47
TAF13	TAF13
AL356488.3	AL356488.3
TMEM167B	TMEM167B
SARS	SARS
CELSR2	CELSR2
PSRC1	PSRC1
SORT1	SORT1
PSMA5	PSMA5
ATXN7L2	ATXN7L2
GNAI3	GNAI3
AMPD2	AMPD2
GSTM4	GSTM4
GSTM2	GSTM2
GSTM3	GSTM3
AHCYL1	AHCYL1
STRIP1	STRIP1
KCNC4	KCNC4
RBM15	RBM15
SLC16A4	SLC16A4
LAMTOR5	LAMTOR5
LRIF1	LRIF1
DRAM2	DRAM2
CEPT1	CEPT1
PIFO	PIFO
WDR77	WDR77
ATP5PB	ATP5PB
RAP1A	RAP1A
DDX20	DDX20
CTTNBP2NL	CTTNBP2NL
ST7L	ST7L
CAPZA1	CAPZA1
MOV10	MOV10
RHOC	RHOC
SLC16A1	SLC16A1
SLC16A1-AS1	SLC16A1-AS1
LRIG2	LRIG2
MAGI3	MAGI3
PHTF1	PHTF1
RSBN1	RSBN1
AP4B1	AP4B1
DCLRE1B	DCLRE1B
HIPK1	HIPK1
TRIM33	TRIM33
BCAS2	BCAS2
NRAS	NRAS
