764	AL596257.1
765	AC117945.2
766	AC117945.1
767	GRIK3
768	AL031430.1
769	AL353604.1
770	LINC01137
771	ZC3H12A
772	MEAF6
773	SNIP1
774	DNALI1
775	GNL2
776	RSPO1
777	C1orf109
778	CDCA8
779	EPHA10
780	MANEAL
781	AL929472.3
782	YRDC
783	C1orf122
784	MTF1
785	AL929472.2
786	INPP5B
787	SF3A3
788	FHL3
789	UTP11
790	POU3F1
791	AL139158.2
792	AL139158.3
793	LINC01343
794	LINC01685
795	AL354702.2
796	RRAGC
797	AL139260.1
798	MYCBP
799	AL139260.3
800	GJA9
801	RHBDL2
802	AKIRIN1
803	NDUFS5
804	MACF1
805	AL442071.1
806	BMP8A
807	PABPC4
808	AL365277.1
809	HEYL
810	AL035404.2
811	NT5C1A
812	HPCAL4
813	PPIE
814	BMP8B
815	OXCT2
816	AL033527.3
817	AL033527.5
818	AL033527.4
819	TRIT1
820	MYCL
821	AL033527.2
822	MFSD2A
823	CAP1
824	PPT1
825	RLF
826	TMCO2
827	AL050341.2
828	ZMPSTE24
829	COL9A2
830	SMAP2
831	AL031985.4
832	ZFP69B
833	ZFP69
834	AL603839.3
835	EXO5
836	AL603839.1
837	AL603839.2
838	ZNF684
839	RIMS3
840	AL031289.1
841	NFYC-AS1
842	NFYC
843	KCNQ4
844	CITED4
845	AC119677.1
846	CTPS1
847	SLFNL1-AS1
848	SLFNL1
849	SCMH1
850	AC093151.3
851	FOXO6
852	AC093151.2
853	EDN2
854	HIVEP3
855	AL445933.2
856	AC119676.1
857	GUCA2B
858	GUCA2A
859	FOXJ3
860	RIMKLA
861	ZMYND12
862	PPCS
863	CCDC30
864	PPIH
865	AC098484.2
866	YBX1
867	CLDN19
868	P3H1
869	C1orf50
870	AC098484.3
871	AC098484.1
872	TMEM269
873	SVBP
874	ERMAP
875	AL512353.1
876	ZNF691
877	SLC2A1
878	SLC2A1-AS1
879	AC099795.1
880	FAM183A
881	EBNA1BP2
882	CFAP57
883	TMEM125
884	C1orf210
885	TIE1
886	MPL
887	AL139289.2
888	CDC20
889	ELOVL1
890	MED8
891	AL139289.1
892	SZT2
893	SZT2-AS1
894	HYI
895	PTPRF
896	AL451062.3
897	KDM4A
898	KDM4A-AS1
899	ST3GAL3
900	AL451062.1
901	ARTN
902	AL357079.1
903	IPO13
904	DPH2
905	ATP6V0B
906	B4GALT2
907	CCDC24
908	SLC6A9
909	AL139220.2
910	KLF17
911	KLF18
912	DMAP1
913	ERI3
914	RNF220
915	TMEM53
916	ARMH1
917	KIF2C
918	AL592166.1
919	RPS8
920	BEST4
921	PLK3
922	TCTEX1D4
923	BTBD19
924	PTCH2
925	EIF2B3
926	HECTD3
927	UROD
928	ZSWIM5
929	LINC01144
930	HPDL
931	MUTYH
932	TOE1
933	TESK2
934	CCDC163
935	MMACHC
936	PRDX1
937	AKR1A1
938	NASP
939	CCDC17
940	GPBP1L1
941	TMEM69
942	IPP
943	MAST2
944	PIK3R3
945	AL358075.4
946	AL358075.1
947	AL358075.2
948	TSPAN1
949	AL672043.1
950	POMGNT1
951	LURAP1
952	RAD54L
953	LRRC41
954	UQCRH
955	NSUN4
956	FAAH
957	DMBX1
958	AL136373.1
959	MKNK1-AS1
960	KNCN
961	MKNK1
962	MOB3C
963	ATPAF1
964	TEX38
965	EFCAB14-AS1
966	EFCAB14
967	CYP4B1
968	CYP4A11
969	CYP4X1
970	CYP4Z1
971	CYP4A22-AS1
972	CYP4A22
973	LINC00853
974	PDZK1IP1
975	TAL1
976	AL135960.1
977	STIL
978	CMPK1
979	LINC01389
980	FOXE3
981	FOXD2-AS1
982	FOXD2
